Date,AAPL,GOOGL,MSFT
2024-08-28,225.6966552734375,162.06494140625,408.2103271484375
2024-08-29,228.98507690429688,161.00009155273438,410.71563720703125
2024-08-30,228.19784545898438,162.59237670898438,414.7122802734375
2024-09-03,221.9896697998047,156.60140991210938,407.05706787109375
2024-09-04,220.07640075683594,155.69580078125,406.5202331542969
2024-09-05,221.60104370117188,156.48199462890625,406.0132141113281
2024-09-06,220.0465087890625,150.1924591064453,399.3621520996094
2024-09-09,220.13619995117188,148.1894989013672,403.3587646484375
2024-09-10,219.3389892578125,148.13967895507812,411.7894287109375
2024-09-11,221.88006591796875,150.63092041015625,420.57794189453125
2024-09-12,221.9896697998047,154.1485595703125,424.514892578125
2024-09-13,221.7206268310547,156.90887451171875,428.083984375
2024-09-16,215.56228637695312,157.5067596435547,428.8296203613281
2024-09-17,216.03060913085938,158.76235961914062,432.61749267578125
2024-09-18,219.91697692871094,159.25062561035156,428.302734375
2024-09-19,228.0683135986328,161.57247924804688,436.1368713378906
2024-09-20,227.40065002441406,163.0174102783203,432.73675537109375
2024-09-23,225.67672729492188,161.28350830078125,430.9870300292969
2024-09-24,226.57354736328125,161.72195434570312,426.67230224609375
2024-09-25,225.57705688476562,160.9247589111328,429.5951232910156
2024-09-26,226.72303771972656,162.16041564941406,428.7998046875
2024-09-27,226.99208068847656,163.3761444091797,425.5289611816406
2024-09-30,232.18385314941406,165.26950073242188,427.7956848144531
2024-10-01,225.41763305664062,166.40550231933594,418.24163818359375
2024-10-02,225.98562622070312,165.2794647216797,414.7023620605469
2024-10-03,224.8795166015625,165.2794647216797,414.11578369140625
2024-10-04,226.00555419921875,166.4752655029297,413.6385498046875
2024-10-07,220.91346740722656,162.40953063964844,407.1565246582031
2024-10-08,224.97918701171875,163.8046417236328,412.29638671875
2024-10-09,228.73594665527344,161.29345703125,415.0303955078125
2024-10-10,228.23770141601562,161.51268005371094,413.4198303222656
2024-10-11,226.75294494628906,162.66864013671875,413.89703369140625
2024-10-14,230.48980712890625,164.3826141357422,416.7006530761719
2024-10-15,233.03086853027344,164.88087463378906,416.302978515625
2024-10-16,230.96810913085938,164.5819091796875,413.6982116699219
2024-10-17,231.33682250976562,162.35971069335938,414.2947082519531
2024-10-18,234.1768341064453,162.84799194335938,415.72637939453125
2024-10-21,235.65164184570312,163.49574279785156,416.3427429199219
2024-10-22,235.03382873535156,164.56198120117188,425.0219421386719
2024-10-23,229.95169067382812,162.21023559570312,422.1288757324219
2024-10-24,229.76235961914062,162.15045166015625,422.25811767578125
2024-10-25,230.59942626953125,164.69154357910156,425.658203125
2024-10-28,232.5824432373047,166.13644409179688,424.1072998046875
2024-10-29,232.85150146484375,169.08607482910156,429.43609619140625
2024-10-30,229.29400634765625,173.84934997558594,430.0126953125
2024-10-31,225.11868286132812,170.51107788085938,403.985107421875
2024-11-01,222.12918090820312,170.69046020507812,407.9816589355469
2024-11-04,221.23233032226562,168.6476287841797,406.082763671875
2024-11-05,222.66729736328125,169.1458740234375,409.0653076171875
2024-11-06,221.93984985351562,175.89218139648438,417.7345886230469
2024-11-07,226.6831817626953,180.11734008789062,422.9540100097656
2024-11-08,226.41383361816406,177.7257537841797,420.08087158203125
2024-11-11,223.69039916992188,179.71875,415.57720947265625
2024-11-12,223.69039916992188,180.9842987060547,420.5679931640625
